equity,commodity_series,tenor_months_actual,window_days,data_window_start,data_window_end,n_observations,coint_p,coint_passed,coint_p_bh_adjusted,spread_adf_p,granger_maxlag_used,granger_p_lag5,granger_p_lag20,granger_p_lag60,granger_p_lag90,granger_p_lag130,granger_best_lag,granger_best_p,granger_passed,beta,r_squared
ROK,HG=F front-month (matched HGU26.CMX window),1.0,90,2021-06-29,2026-04-28,1213,0.11374648512781521,False,0.34130431344154966,,130,0.03930904886854,0.13456152357238116,0.3335796987397209,0.6866711640040349,0.8105995774475673,23,0.025397320306895857,True,0.24771524049548732,0.03655779065086728
TEL,HGU26.CMX level,34.11,30,2021-06-29,2026-04-28,1213,0.11710997817617497,False,0.34130431344154966,,130,0.24962044046090762,0.024729465050645213,0.10240561079206131,0.07856052803897469,0.026950149925305162,18,0.015436443195404078,True,0.2615040220804308,0.04548848655336213
TEL,HGU26.CMX spread,34.11,30,2021-06-29,2026-04-28,1213,0.9483698932762646,False,0.978984315683333,0.069,130,0.6653057078340687,0.5781095949459407,0.9444189027430029,0.9851672528212687,0.9990530643405403,12,0.28650924194433974,False,4.156870192613817e-05,2.061918950913011e-05
TEL,HG=F front-month (matched HGU26.CMX window),1.0,30,2021-06-29,2026-04-28,1213,0.14952191986097757,False,0.34130431344154966,,130,0.1501538166021432,0.020334621598202134,0.057213692786423555,0.07212020064596657,0.049611865701396626,19,0.013186369699231086,True,0.2114581241199995,0.037900128993324844
TEL,HGU26.CMX level,34.11,60,2021-06-29,2026-04-28,1213,0.11710997817617497,False,0.34130431344154966,,130,0.24962044046090762,0.024729465050645213,0.10240561079206131,0.07856052803897469,0.026950149925305162,18,0.015436443195404078,True,0.14187098278498733,0.013060374989097179
TEL,HGU26.CMX spread,34.11,60,2021-06-29,2026-04-28,1213,0.9483698932762646,False,0.978984315683333,0.069,130,0.6653057078340687,0.5781095949459407,0.9444189027430029,0.9851672528212687,0.9990530643405403,12,0.28650924194433974,False,0.00011731307479412638,0.00015973760691390115
TEL,HG=F front-month (matched HGU26.CMX window),1.0,60,2021-06-29,2026-04-28,1213,0.14952191986097757,False,0.34130431344154966,,130,0.1501538166021432,0.020334621598202134,0.057213692786423555,0.07212020064596657,0.049611865701396626,19,0.013186369699231086,True,0.1531708457460194,0.01980572822022464
TEL,HGU26.CMX level,34.11,90,2021-06-29,2026-04-28,1213,0.11710997817617497,False,0.34130431344154966,,130,0.24962044046090762,0.024729465050645213,0.10240561079206131,0.07856052803897469,0.026950149925305162,18,0.015436443195404078,True,0.12840883011324525,0.008238698066670103
TEL,HGU26.CMX spread,34.11,90,2021-06-29,2026-04-28,1213,0.9483698932762646,False,0.978984315683333,0.069,130,0.6653057078340687,0.5781095949459407,0.9444189027430029,0.9851672528212687,0.9990530643405403,12,0.28650924194433974,False,0.00010334376953222333,0.00010035681494957593
TEL,HG=F front-month (matched HGU26.CMX window),1.0,90,2021-06-29,2026-04-28,1213,0.14952191986097757,False,0.34130431344154966,,130,0.1501538166021432,0.020334621598202134,0.057213692786423555,0.07212020064596657,0.049611865701396626,19,0.013186369699231086,True,0.16083930392491375,0.017152168474134255
ROK,HGZ25.CMX level,31.57,30,2020-09-29,2025-12-29,1319,0.24015244840009364,False,0.4332161814276199,,130,0.32757622250733315,0.39035548047724133,0.6702409166893868,0.8840916928534556,0.7100618248998027,23,0.2125053594978331,False,0.2240159449740587,0.02543423258273514
